#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
69,"Femme Like U","Monaldin,Emma Peters",65,115,"french pop","Pop","Femme Like U",2020-11-13,02:17,75,66,58,10,48,0,20,-9,F#/G♭ Minor,4,2022-12-16,670E2HDx684Yq0rhf84CQc,"Columbia/B1 Recordings",11A,https://p.scdn.co/mp3-preview/f61eb3f70ecddd68732e0eb369863c6249829d02?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513b7dea13c00bdb81fc7c1b4a
70,"Wake Up","Äl Jawala,Murmusica",30,99,"balkan beats, balkan brass, gypsy punk, ","Electronic, Folk/Acoustic","Wake Up",2022-06-17,05:34,73,85,2,11,36,0,0,-8,F Minor,4,2023-01-04,2T7pcmrq29D6o5uXE3XLMy,"Sol Selectas",4A,https://p.scdn.co/mp3-preview/83db9778d3a3604234b76e4bafafdc9ca6eaa668?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519bc210360746146ff793ce4c
71,"Retrida","Angelov",0,123,"melodic techno","Electronic","Cabora EP",2019-10-11,08:19,80,83,1,92,34,0,10,-10,C♯/D♭ Major,4,2023-01-04,5jpe3La1qz7jKxTRv85JE9,"Diynamic Music",3B,,https://i.scdn.co/image/ab67616d0000485191bd24ccc1385b039a73ca7c
72,"Sleepless - Stephan Bodzin Remix","Pan-Pot,Stephan Bodzin",49,120,"german techno, minimal techno, raw techno, deep techno","Electronic","The Other Remixes",2015-12-25,09:00,74,66,0,81,8,0,0,-8,D Major,4,2023-01-06,5a6kfvZnFRAdReEtmbeHuo,"Second State Audio",10B,https://p.scdn.co/mp3-preview/00b8e8902781f68d78cf8b4ff3db0fe0a36fc9b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851682938dca05151e5265d69b7
73,"Tunnel","Polo & Pan,Channel Tres",0,120,"dark disco, electro-pop francais, french indietronica, indie soul, la pop","Electronic, R&B, Pop","Cyclorama",2021-06-25,05:10,73,51,12,71,38,0,10,-9,D Major,4,2023-01-06,4Q9NKKycjy7cEDETJfE2EJ,"Universal Music Division Virgin Records Distribution Deal",10B,,https://i.scdn.co/image/ab67616d0000485142764f512ff72feacac8e9b8
74,"Porto","Worakls",60,128,"deep euro house, deep minimal techno, high-tech minimal, minimal melodic techno, new french touch","Electronic","Utopia / Porto",2014-02-18,05:30,68,71,0,87,19,0,0,-6,G#/A♭ Major,4,2023-02-12,77cHi3HzlrS8XDgue2WT8y,"Hungry Music",4B,https://p.scdn.co/mp3-preview/c0882fef0a3d7224e989a35b679a124e061d7b4b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514d9bb7a86c1e348911aa4a85
75,"Only You - Frankie Francis Disco Jam Edit","Steve Monite,Frankie Francis",41,118,"afro-funk, ","World/Traditional","Steve Monite / Tabu Ley Rochereau Edits",2016-06-21,07:50,82,82,4,8,68,0,10,-7,A Minor,4,2023-02-22,1MNJqhMyxeojG0z0yUpSDj,"Soundway Records Ltd",8A,https://p.scdn.co/mp3-preview/10a08b31ff57e5e7c6a130a16339372c03dc868d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514e46e07a011aebcc33d4a414
76,"Miroir (Deux)","Paradis",46,123,"electro-pop francais, french indie pop, french indietronica","R&B, Pop, Electronic","Recto Verso",2016-09-23,03:37,72,73,0,14,16,0,10,-10,A#/B♭ Minor,4,2023-02-22,1MVxcHKVGNkbdvf8w8WMcv,"Universal Music Division Barclay",3A,,https://i.scdn.co/image/ab67616d000048511c8a8c45fe4eeb0b21f461a1
77,"Overnight","Parcels",72,120,"aussietronica, indie soul","Electronic, R&B","Overnight",2017-06-21,03:39,82,82,36,6,86,0,10,-9,G#/A♭ Minor,4,2023-02-22,0hhXziDUO0wNYPsstDQWN6,"Because Music",1A,https://p.scdn.co/mp3-preview/623790911cb9b38bb8e64cb74456fd9cf8bf56b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cb0697945af18f523fa11217
78,"Siempre me quedará","Bebe",62,77,"spanish pop","Pop","Pafuera Telarañas",2004-00-00,03:49,76,58,44,1,77,10,10,-7,A Minor,4,2023-03-07,3iHJm7dUroZYvbqrhobLZs,"Parlophone Spain",8A,https://p.scdn.co/mp3-preview/824af8f405604d77261557d7329191ac8d1b6582?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485158d2f48ada20d0e7ce64b209
79,"Osama","Zakes Bantwini,Kasango",59,122,"afro soul, deep house, kwaito, south african house, south african pop, afro house","Electronic, R&B, World/Traditional, Pop","Osama",2021-09-10,06:49,67,70,7,60,26,0,10,-10,F Minor,4,2023-04-06,1YPkBfrRCpvBrwJU66LQWq,"Universal Music (Pty) Ltd.",4A,,https://i.scdn.co/image/ab67616d00004851fb5bfb362427fbf134591d1f
80,"Sumeru","islandman",53,93,"ethnotronica, turkish electronic","Electronic","Kaybola (Deluxe Version)",2020-06-25,04:57,67,51,85,83,57,0,0,-10,D Major,4,2023-04-18,2gL3yeSrVcdgYUgebT6TKN,"Music For Dreams",10B,https://p.scdn.co/mp3-preview/115aae2ac20eea46218027c4e1984b50e9a98798?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b829d37cb3babb3f0e617dc4
81,"Roland Garros","Revers Gagnant,Darlinn",46,120,"new french touch, ","Electronic","Grand Chelem",2016-11-01,04:27,85,60,30,9,62,0,10,-10,A Minor,4,2023-04-20,3WuTi3f10qoi6LGIjjr50z,"Riptide Records",8A,https://p.scdn.co/mp3-preview/7022498920da253ebbdc4c3da3ef29358d531e08?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485104f390a6587476f13ccf0794
82,"Britannia","Undercatt",46,125,"italian techno","Electronic","Picture: Undercatt",2018-04-20,06:43,81,65,0,85,62,0,10,-12,A#/B♭ Minor,4,2023-04-22,1HvbUPojTZkjvAWy9PAgoZ,"Diynamic Music",3A,https://p.scdn.co/mp3-preview/0023e37f7b3d8a847afb2c41ff95106cc1ab6378?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515bbd1e5808ef9d2abd62bb1a
83,"Souls","Ash",41,113,"arab electronic","Electronic","Souls",2022-12-16,08:25,64,61,22,88,6,0,10,-11,C♯/D♭ Major,4,2023-04-22,2gzSbwYQrXYAuIEgnZhwhw,"Ash",3B,https://p.scdn.co/mp3-preview/8bc95e5be7f515a42af474d7455ebdc99ec52d74?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485130e817d0ca313d0df59157b2
84,"Marea (we’ve lost dancing)","Fred again..,The Blessed Madonna",72,123,"edm, house, stutter house","Electronic","Marea (we’ve lost dancing)",2021-02-22,04:45,76,78,7,11,47,10,0,-7,F Minor,4,2023-04-22,1t0Jmqg1pKVBbxjQFZebeR,"Atlantic Records UK",4A,https://p.scdn.co/mp3-preview/abbd7cd7eef9f92b09e9a9f2d30f0b2990f536e5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f9062eccd2f7244b38158af0
85,"The Finishing","Stavroz",60,120,"organic electronic","Electronic","The Ginning",2015-09-28,08:02,77,38,66,83,4,0,10,-13,A Major,4,2023-05-10,2SCLswvRP8hAYdIKsrLV6h,"Delicieuse Records",11B,https://p.scdn.co/mp3-preview/8eab9efca438139cc368795d95722e1ded3b5148?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a3172d3d600d4c70936852fa
86,"No Human Is Illegal","Budakid",2,180,"organic house","Electronic","Bella Mar 03",2016-07-15,08:16,50,43,15,90,12,0,10,-11,E Minor,3,2023-04-29,7HL071Iev43PzW74jNyyYw,"Einmusika Recordings",9A,,https://i.scdn.co/image/ab67616d000048516a0e9398f54fa6d94892761b
87,"Adventure","Izzamuzzic",55,100,"kazakh pop, russian electronic","Pop, Electronic","Adventure",2016-04-22,05:19,62,52,8,0,18,20,10,-10,G Major,4,2023-04-29,0nh7musv1SfjMkXaIkHBqK,"Topspot records",9B,https://p.scdn.co/mp3-preview/b93bb47e0928864a17af44e91a024ba7edfc52df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485185c85fe60a1911a999521deb
88,"Invisible - Paul Kalkbrenner Remix","NTO,Paul Kalkbrenner",60,128,"deep euro house, minimal melodic techno, new french touch, electronica, german techno, leipzig electronic, minimal techno","Electronic","Invisible (Paul Kalkbrenner Remix)",2021-04-14,07:37,71,60,39,84,47,0,10,-9,C♯/D♭ Minor,4,2023-05-02,2xUsXYIiK18wSnv2SXFGtj,"AllPoints",12A,https://p.scdn.co/mp3-preview/65068153245b8aeff058d9e2d30c83fce1209eaf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ae98507273e5432097299a0d
89,"For Every Forever","Mathame",40,128,"italian techno","Electronic","For Every Forever EP",2020-02-14,06:22,71,54,0,39,6,0,0,-9,E Minor,4,2023-05-29,7ehBoh9FIeIiEnORzexRZ2,"Afterlife",9A,,https://i.scdn.co/image/ab67616d00004851d8323eac79b2027161cd82bd
90,"Brivido felino","MINACELENTANO",58,94,"","","Mina/Celentano",1998-01-01,03:44,80,50,36,0,78,0,0,-11,F Minor,4,2023-06-02,6sZ8y6NqtJx6xh4rFN0ggQ,"RCA Records Label",4A,https://p.scdn.co/mp3-preview/73644efa41aefe9e962b8cc297b0cbe78bbc3725?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511b0abc6b4d36c4ee41922fdf
91,"Oboe","Camel Power Club",54,115,"french indietronica","Electronic","Sputnik II",2019-01-11,05:25,75,67,30,70,39,0,10,-8,C Major,4,2023-06-17,3IRON3rRIf2WJwejIbaehd,"Bramar Records",8B,https://p.scdn.co/mp3-preview/79957881c4958a39db066437e81352ce60cff4ae?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bcea74bf6e8cff8e423311c2
92,"Blackout","Ash",38,106,"arab electronic","Electronic","Blackout",2023-06-09,05:12,73,45,22,92,18,0,10,-9,G#/A♭ Minor,4,2023-06-24,2iaweVQr2vlf8ggfSi2wVo,"Ash",1A,https://p.scdn.co/mp3-preview/1dbc9f895362a6f74e6e19cb4b513848f93c322c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518fa73154c4bd100ab4556be6
93,"Hypercolour - ARTBAT Remix","CamelPhat,Yannis,ARTBAT",48,124,"deep tech house, house, progressive house, uk dance, ukrainian electronic","Electronic","Hypercolour (ARTBAT Remix)",2020-07-24,08:30,57,63,1,58,4,0,10,-11,F#/G♭ Minor,3,2023-07-08,3FjrPIo2CGtyNI9yfzU5md,"RCA Records Label",11A,https://p.scdn.co/mp3-preview/38e40218237bf16b32b02a4f47c7cadea35bb130?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d6ae86275d2c0f001261f691
94,"Return to Oz - ARTBAT Remix","Monolink,ARTBAT",64,124,"deep euro house, livetronica, minimal melodic techno, ukrainian electronic","Electronic","Return to Oz (ARTBAT Remix)",2019-08-09,08:00,85,93,56,70,19,0,0,-8,D Major,4,2023-07-09,0gwNGHcBRYtF7mvgUczVo1,"RCA Records Label",10B,https://p.scdn.co/mp3-preview/905759c4ba48787f7ff3c0e1000f5cee245d1bbb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7bb45ac04c966e4435aa740
95,"Endless","Mark Eliyahu",46,110,"turkish instrumental","World/Traditional","Endless",2019-09-27,04:37,61,66,31,88,47,0,10,-8,G Minor,4,2023-07-11,0f5hktdavs6u4YqQqYiK3s,"Mark Eliyahu",6A,https://p.scdn.co/mp3-preview/082107690c7ca895ec5f869f361191492c4be996?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485166ee96963564c53196924e37
96,"Your Voice","Caiiro,AWEN",48,120,"afro house, south african house","Electronic","Your Voice",2020-07-24,05:55,83,68,57,16,5,0,10,-11,D Major,4,2023-07-12,1PdrKQaDMQNS02ICL8DYe1,"Madorasindahouse Records",10B,https://p.scdn.co/mp3-preview/3b4801378ae6a103c657510c51f2f235b28bf067?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851832c07f43eb9319be7b26e65
