#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
113,"Time","NTO",51,125,"deep euro house, minimal melodic techno, new french touch","Electronic","Time",2015-02-13,06:04,82,51,17,83,13,10,10,-10,E Minor,4,2023-08-07,7hofL9YADeFqnsFdDrxdbs,"Hungry Music",9A,https://p.scdn.co/mp3-preview/04ccb65dd365150b8994f59dde99e47d9df2c02a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a8dc0aee4cd724f0ded0929b
114,"Closer","ARTBAT,WhoMadeWho",58,125,"ukrainian electronic, alternative dance, dance-punk, danish indie, electronica, experimental pop","Rock, Electronic, Pop","Montserrat / Closer",2019-04-19,07:40,73,59,1,52,19,0,0,-10,A#/B♭ Minor,4,2023-08-07,1rGnpPG0QHfqjDgM8cIf4A,"Watergate Records",3A,https://p.scdn.co/mp3-preview/e720a2d75d33da59f0b81bf0bbed8b38b4181d00?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e65ede8b57cf929ef5e43809
115,"Yamaha","Aleksandir",47,121,"ambient house","Electronic","Yamaha",2018-06-15,06:28,79,50,30,92,71,0,0,-12,F Minor,3,2023-08-07,11lbXJg7UJGxZrJnEMLlHL,"Tessellate",4A,https://p.scdn.co/mp3-preview/9d139bfeca2214419013253c2658a00a212208ac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cc3cc283dfcb597322b0f3a1
116,"SHE","The Blaze",65,125,"new french touch","Electronic","DANCEHALL",2018-09-07,03:38,70,83,3,28,4,0,30,-9,A Minor,4,2023-08-07,16IzV3JdxmR3X10ZbWHlfB,"Animal 63",8A,https://p.scdn.co/mp3-preview/50aa661c737b8f6c5039d31f6b757ecb68401712?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fb8b2c04222171f2c970d6ac
117,"Ethnica - Extended Mix","Nico de Andrea,Vanetty",33,123,"melodic house, ","Electronic","Ethnica",2023-04-07,07:02,81,83,0,86,21,0,0,-8,G#/A♭ Minor,4,2023-08-12,4BXsHMg9EhH0Lyslrzq1om,"Armada Music",1A,https://p.scdn.co/mp3-preview/3fd4e5e9bf5b7adc90793dc90c3a120d0578aacc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851081b418a744359131df8666b
118,"The Morning After","NTO",55,121,"deep euro house, minimal melodic techno, new french touch","Electronic","The Morning After",2019-05-24,06:48,88,46,1,87,24,10,0,-10,A Minor,4,2023-08-15,3H0ZT9YkGlYH9rNIcB4ysg,"Hungry Music",8A,https://p.scdn.co/mp3-preview/13f489f164cb9551c6b9cdf21390f9157d0b4558?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513f7e080ecb16348d271882ce
119,"Croche","NTO",47,124,"deep euro house, minimal melodic techno, new french touch","Electronic","Croche",2018-06-22,06:19,75,56,0,91,13,0,10,-10,F#/G♭ Major,4,2023-08-17,7q7MXZtZD45z0fWz2T7mKU,"Hungry Music",2B,https://p.scdn.co/mp3-preview/4834b79422ca64aa6a75f40a1825df3239242c8c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516eb1ec03c9ca617d0b2d9763
120,"Tiramisu fraise","La Fine Equipe,Blanka",59,84,"french indietronica, new french touch, ","Electronic","La boulangerie (Back Burners)",2018-06-20,02:19,80,59,53,1,89,0,10,-7,F Minor,4,2023-08-21,4IR1ZygDYovtGiuyZFxgNt,"Nowadays Records",4A,https://p.scdn.co/mp3-preview/e8d09f5422c94a4eff4fb02a9f7886b140351b33?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485176e68055133b3eb9f2b8ae67
121,"Ecco la Notte","Dov'è Liana",45,120,"","","Ecco la Notte",2020-12-02,05:44,85,50,44,39,65,0,10,-10,D Major,4,2023-08-21,07NTvJ2DpPtQ23qTu1YWOq,"Dov'è Liana",10B,https://p.scdn.co/mp3-preview/0a6387d18cd8ca3796839222ec1b253772a0cd98?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cc6a4d9e3c6b520d925680ab
122,"Nåmi Nåmi","Antaares",36,92,"ethnotronica, organic house","Electronic","Nåmi Nåmi",2021-04-27,08:27,85,19,36,92,34,0,10,-14,F#/G♭ Major,4,2023-08-25,5J5RB4Rq8uUA6BbIADzs9T,"Amselcom",2B,https://p.scdn.co/mp3-preview/c0131e6c4202e0274ed147f8d671749f70e89319?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514aa0c3a05f0ce346b9432ca8
123,"Fly Away","Laroz,SHEERA,HMWL",30,121,"ethnotronica, organic electronic, ","Electronic","Fly Away",2020-07-10,03:29,76,53,3,1,85,0,10,-12,F Minor,4,2023-08-25,6YH52y25TVHSxuRc1RPCTl,"House Music With Love",4A,https://p.scdn.co/mp3-preview/388feafd49372a0bc31213529e58405633598b29?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518f86d0f08310245a8dea9918
124,"La Paz - Xique-Xique Remix","Zazou,Landhouse,Xique-Xique",33,103,"ethnotronica, organic house, organic electronic, latintronica, musica eletronica brasileira","Electronic, World/Traditional","La Paz",2018-07-19,05:58,87,34,3,89,44,10,10,-12,C♯/D♭ Major,4,2023-08-25,0lf59i535DJNfGP84DSGTp,"Leveldva",3B,https://p.scdn.co/mp3-preview/9b5f82ea0f97e5c1c08da55a1044252219de32db?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485104cc059de7a5933870736e2b
125,"Priscillo","Luca Musto",31,101,"ethnotronica, organic house","Electronic","Restless",2020-10-02,03:03,82,35,42,71,50,0,0,-15,F Minor,4,2023-08-25,08HXWfAzFmUzWBiOrCcHBd,"Rare Affair",4A,https://p.scdn.co/mp3-preview/2e7eb0118c0f92999d8ac89f63d6d700d5a376a8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a06b9565f959d679758998d0
126,"Lemkivska Kolyskova","Wagashi Brothers",14,105,"","","Aria",2019-09-24,06:56,76,41,50,67,9,0,0,-10,A Minor,4,2023-08-25,6Dd5vtmmm5TOWz5MxlH9Yf,"Pipe & Pochet",8A,https://p.scdn.co/mp3-preview/97ba573ef2117c31c5398d1b1b53d9e327bb91f4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514944516319dfad932afce40c
127,"Sahara","Ethnos,OHAD,Ofir Cohen",0,100,"","","Sahara",2021-02-10,07:14,74,69,14,81,4,0,0,-9,D Major,4,2023-08-25,2lczSh00BWjSFnSFJI8i88,"Mandala Records",10B,,https://i.scdn.co/image/ab67616d00004851ed9de554c3aac9c7dfd26faf
128,"Ole - Remix","Moritz Von Oswald",28,118,"dub techno, microhouse, techno","New age, Electronic, Hip Hop","Lagos Shake: A Tony Allen Chop Up",2008-00-00,10:28,82,21,30,90,42,10,20,-18,F Major,4,2023-08-25,61yB0x3FGb4DDuDFWFyhD0,"Honest Jon's Records",7B,https://p.scdn.co/mp3-preview/228423baa12fd063885f156acf6ac014984a244a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851991b3e4cb280f498a57d88a1
129,"True Colors","Omeria,Cafe De Anatolia",35,102,"ethnotronica, organic house, ","Electronic","True Colors",2020-05-01,06:37,76,27,47,90,42,0,10,-19,C Minor,4,2023-08-25,3xpqdWK7zioNnTBtFKHxXM,"Cafe De Anatolia",5A,https://p.scdn.co/mp3-preview/a9f3be7c626473f5f1f40d3bdc9ebe278069414f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511c97c23374bfcdbb4e2e261e
130,"Maria Sabina","Rodrigo Gallardo,Huaira",0,160,"latintronica, nuevo folklore argentino, organic electronic, ecuadorian indie, shamanic","World/Traditional, Electronic, Latin, New age","El Origen",2017-07-21,05:18,87,33,11,60,45,20,10,-12,B Minor,4,2023-08-25,3Gy7zGBqXRp6MAlx5wXQgB,"Wonderwheel Recordings",10A,,https://i.scdn.co/image/ab67616d00004851728f281b9167943db27b9a17
131,"Rootless","Shunus",27,120,"ethnotronica, organic house","Electronic","Peripheral",2019-01-18,05:48,81,37,4,83,12,0,0,-12,G Minor,4,2023-08-25,0OcOwmR67gtq2yWkJPrWAq,"WAYU Records",6A,https://p.scdn.co/mp3-preview/314747f32c2dd7412d92d286dcb0958e314b50b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511fd5d2402d3d73fc76c51d39
132,"Blind Theatre","Omeria",27,102,"ethnotronica, organic house","Electronic","Blind Theatre",2021-03-12,05:49,82,37,2,84,21,10,10,-12,F#/G♭ Minor,4,2023-08-25,2I7NoDtg0JMSxnl9OrFi0s,"Underyourskin Records",11A,https://p.scdn.co/mp3-preview/01728cfec68002ff29aa21b879c37bc0ad715214?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519ff971ff121518b048831748
133,"Syren","Anyma,Rebūke",69,125,"stutter house, irish electronic","Electronic","Genesys",2023-08-11,03:17,72,77,1,85,7,0,0,-8,A#/B♭ Minor,3,2023-08-28,3hGXZKj3lYKKRQtKE8XN55,"Anyma/Afterlife/Interscope Records",3A,,https://i.scdn.co/image/ab67616d000048512f952feea610a910c7daf561
134,"O'Thrinos","Derun",14,116,"ethnotronica, organic electronic, organic house","Electronic","Prima Luce",2019-11-01,08:31,77,78,0,63,43,0,10,-8,G#/A♭ Major,4,2023-08-29,6T8P7k89kABibeSohkhtKz,"Voyeur",4B,https://p.scdn.co/mp3-preview/044a7dc798c958c3c696dc2bfbcf0849d085470c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d3e057d926ad0a1cf580ed7a
135,"Song of Los","Apparat",33,185,"ambient pop, electronica, glitch, indietronica, trip hop","Pop, Electronic, New age","The Devil's Walk",2011-00-00,04:34,19,69,5,81,7,20,10,-11,G Major,3,2023-08-30,6xHRQGiGUGPvfbun85myq1,"Mute",9B,https://p.scdn.co/mp3-preview/792c1c9097d6111e36e0ab21a45ed09906eea7e3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485176f2cb2ac2670e125a4670ca
136,"Les Gout","Rampa,chuala,Keinemusik",64,120,"deep disco house, melodic house","Electronic","Les Gout",2022-09-09,05:44,85,68,9,24,54,0,10,-9,F Minor,4,2023-08-30,0ko0sZ5hNieT3LRq2lOGl3,"Keinemusik",4A,https://p.scdn.co/mp3-preview/568f4c49f634a5f6f2a9dd80906fe053793294a8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ec98ee7272a76b046ae20ee1
137,"Oasis","Valeron",19,108,"greek house, organic electronic","Electronic","Amare",2017-02-14,07:20,49,60,42,95,11,0,30,-10,F Minor,4,2023-08-30,6EBxhnKo9EiInpJk91sLzG,"Bercana Music",4A,https://p.scdn.co/mp3-preview/37436a9c83d528b894d0112335b02702f78f1cc4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515714026593268734fbb7dd6a
138,"Anlar","Valeron",44,117,"greek house, organic electronic","Electronic","Anlar",2018-11-12,07:10,70,49,1,70,55,0,0,-10,B Minor,4,2023-08-30,30rDKZPuQxu8US9AVEWkE7,"Bercana Music",10A,https://p.scdn.co/mp3-preview/03907a1a5a7af577ffabeb7afcb996a77a908a00?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be1451f57718e50005a2e3d9
139,"Morocco Night","Valeron",39,109,"greek house, organic electronic","Electronic","Amare",2017-02-14,07:09,65,58,0,72,25,0,10,-8,A Major,4,2023-08-30,3EX4tflSxsjrfIWNJoxskQ,"Bercana Music",11B,https://p.scdn.co/mp3-preview/fe9a2495f524111ba37d9d86e5d242eb625b4a09?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515714026593268734fbb7dd6a
140,"Taş Avlu - Valeron Remix","Neval,Valeron",39,108,"turkish deep house, greek house, organic electronic","Electronic","Taş Avlu",2019-11-04,07:40,85,68,1,51,49,0,0,-8,C♯/D♭ Major,4,2023-08-30,6Zu0p4Y9BWeqQZsoNiX9MO,"Souq Records",3B,https://p.scdn.co/mp3-preview/150f262b90c9b4f8803bd92e6f5661898c8a9817?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510fdc717139b154fa16d37525
141,"Euphrates","Valeron",45,114,"greek house, organic electronic","Electronic","Amare",2017-02-14,06:50,74,49,6,90,17,0,20,-10,G#/A♭ Major,4,2023-08-30,2clyVcUj199ccetJU2Bkej,"Bercana Music",4B,https://p.scdn.co/mp3-preview/cd8ed6b1c764d6335dbfb78d46fdd9af6e555d74?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515714026593268734fbb7dd6a
142,"Bongoloco","Bruno Furlan",37,128,"brazilian edm, brazilian tech house, tech house","Electronic","Bongoloco",2023-01-20,03:26,80,67,1,76,7,10,0,-8,D Major,4,2023-08-30,20MM2VpIUqc7FHJ0a8PX3a,"Hot Creations",10B,,https://i.scdn.co/image/ab67616d000048512a11a26e5931516ee0df2d13
143,"Relax My Eyes","ANOTR,Abel Balder",79,132,"dutch tech house, ","Electronic","Relax My Eyes",2022-11-04,03:12,75,62,18,12,91,0,10,-10,D#/E♭ Minor,4,2023-08-30,5u4hhtZ7f4rWkMZEZcTKrH,"NO ART",2A,,https://i.scdn.co/image/ab67616d00004851eedb2366a9c2fbb8503c703e
144,"It's Not Right - Original Mix","Gianni Romano,Emanuele Esposito,Helen Tesfazghi",0,123,"afro house, latin house, ","Electronic","It's Not Right",2020-09-21,06:22,78,72,1,59,23,0,0,-9,C♯/D♭ Major,4,2023-09-01,6huHqVYEgmmYJ8JvPSBlKx,"SwitchLab",3B,,https://i.scdn.co/image/ab67616d000048514dfdaa861ed7f581dd73a4c5
145,"Deep in My Mind - Original Mix","Herr Lang",41,120,"","","Traum EP",2020-07-31,05:16,75,74,4,46,11,0,0,-11,G#/A♭ Major,4,2023-09-06,3Pu3lg462AIaqWt3BEji1O,"Verflixt.",4B,https://p.scdn.co/mp3-preview/6854bcef02f7d12d38e229496eae97cd99be87cb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e6f14eb1f9fb5cb5ce85c27a
146,"Mask","Armin van Buuren,AVIRA,Sam Martin",32,125,"dutch trance, edm, pop dance, progressive house, trance, melodic house, ","Electronic","Hollow Mask Illusion",2020-09-18,07:58,35,56,4,42,4,0,10,-10,F#/G♭ Major,4,2023-09-15,1BfTtAqebRi377OzTcUD9f,"Armind",2B,https://p.scdn.co/mp3-preview/f227b33804ebf029e872e34ab3763a97381c2b09?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518313fdbceac5ad3fc68b5165
147,"Orange Evening","DWIG,Laut & Luise",50,118,"","","Big Tales",2014-10-03,07:11,76,36,85,51,38,0,10,-12,B Minor,4,2023-09-20,2Os3uq6WxoQmhdUJkbToIq,"Laut & Luise",10A,https://p.scdn.co/mp3-preview/c88a83da90b88cdd140f50b3ce35e0a82d6a8b8e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ab636557f490fac65cbc49b5
148,"Desperado - Vocal Mix","Moojo,Demayä,ARKADYAN,Eribertho Cruz Collazo",17,121,"afro house, ","Electronic","Desperado",2021-08-20,06:48,73,84,0,54,37,0,0,-6,G Major,4,2023-10-25,5SDO2GkFtXM0PD5jpymcBD,"ABRACADABRA Music",9B,,https://i.scdn.co/image/ab67616d0000485169f1487820defe976d3731ec
149,"Opus","Eric Prydz",64,125,"edm, electro house, house, pop dance, progressive house","Electronic","Opus",2016-02-05,09:03,28,72,0,82,18,0,0,-6,F#/G♭ Minor,4,2023-10-25,3v2oAQomhOcYCPPHafS3KV,"Virgin Records Ltd",11A,,https://i.scdn.co/image/ab67616d0000485124492f2ba3a1d995e1faf5d8
150,"Calypso","Round Table Knights,Bauchamp",60,126,"","","Say What?!",2011-02-28,03:46,67,59,1,93,16,40,50,-7,B Major,4,2023-10-25,7cbXhbH8Is98BrDA3Yglck,"Made To Play",1B,https://p.scdn.co/mp3-preview/53824b65dacd1c3303ff407aaa4e747bc0a546fc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515c86221aab835ad1b8f7e16f
151,"Clap Your Hands","Whilk & Misky",57,118,"uk alternative pop","Pop","Clap Your Hands",2014-09-01,05:05,82,64,23,21,38,0,10,-11,E Minor,4,2023-10-25,7DM5k4ql2H94jNn0kN0SaU,"Universal-Island Records Ltd.",9A,,https://i.scdn.co/image/ab67616d00004851498d9a882783b37678b1d9da
152,"El Ritmo De Verdad - Extended","lego",41,124,"","","El Ritmo De Verdad",2017-06-30,06:28,81,83,0,80,49,0,0,-5,G#/A♭ Major,4,2023-10-25,6KpG9heky7bZ4dGTs51JIW,"4 To The Floor Records",4B,https://p.scdn.co/mp3-preview/2b15e61740386515430e30ac99a53404cb68a53b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fafdc60a79c3be20b0480683
153,"Trauma - Worakls Remix","NTO,Worakls",57,128,"deep euro house, minimal melodic techno, new french touch, deep minimal techno, high-tech minimal","Electronic","Hungry 5 (The Best of 5 Years)",2018-11-09,10:00,80,48,56,93,14,0,0,-10,D Minor,4,2023-10-25,1uXUZfJykefWuwj9VtyxIq,"Hungry Music",7A,https://p.scdn.co/mp3-preview/f621b150486e30f3b87f005e8ebbce2deb335ae9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851956b1c265311e7b01794ef0b
154,"The Rapture Pt.III","&ME,Black Coffee,Keinemusik",72,120,"deep disco house, melodic house, south african house, south african pop, south african pop dance","Electronic, Pop, World/Traditional","The Rapture Pt.III",2023-06-09,06:57,72,53,2,86,4,0,10,-12,E Minor,4,2023-11-03,200DiJQhDi69nkGXOrrJgn,"Keinemusik",9A,https://p.scdn.co/mp3-preview/4dde4d26bba765dc65074e8ddb335199c69b145f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485163f925125a5848c42a5fdf6b
155,"Begin Again","Ben Böhmer",68,121,"melodic house","Electronic","Begin Again",2021-09-24,02:41,74,43,28,91,41,0,10,-15,G#/A♭ Minor,4,2023-11-03,6j9hfHxpXEaYzFwcSK4MhH,"Anjunadeep",1A,https://p.scdn.co/mp3-preview/5fd34922c8b09c4e663900001ee71a480a757d8b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f31ced0e5fd5ed524804f4a5
156,"White Flag","Romain Garcia",58,121,"melodic house","Electronic","White Flag",2021-01-08,03:18,66,78,4,82,4,0,10,-10,D Major,4,2023-11-03,1NJH4ROnDMzFuFDGLsDo4S,"Ton Töpferei",10B,https://p.scdn.co/mp3-preview/26d0eda4f13d2cd1d2eba7a3dd73bc3b431852c0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516d2964892f48226f5c3992a8
157,"Anchor Point","Ahmed Spins,Stevo Atambire",71,123,"melodic house, frafra","Jazz, Electronic","Anchor Point EP",2022-06-03,05:59,68,79,39,51,39,0,0,-10,D Major,4,2023-11-18,6tE5zuD7eC7cV2O1IyjRLX,"Virgin",10B,,https://i.scdn.co/image/ab67616d00004851111081c73cb31997094ae4c3
158,"Relax my eyes - remix","SVNTOS",42,122,"","","Relax my eyes Remix",2023-09-29,07:06,75,90,9,40,27,0,10,-7,F#/G♭ Major,4,2023-11-23,7bycWHHcqKTqVklrhE8BzH,"V Studio.",2B,https://p.scdn.co/mp3-preview/f4838633ac37d84c142ed45dadf24b7c01a26c47?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510d232ad5104936cf5fa2b32f
159,"Sonini","Drush (FR),Tabia",34,120,"","","Sonini",2023-06-30,06:54,66,85,2,76,28,0,0,-6,G Major,4,2023-11-23,3QkruQGnBhOLb0MyiAqxLm,"Calamar Records",9B,https://p.scdn.co/mp3-preview/f50415277cbb4a801d00ce0699c501847941eecd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b4e6af873d17f344db9781a0
160,"The Boy Is Mine","James Mac,Vall,Rosalie",68,123,"melodic house, ","Electronic","The Boy Is Mine",2023-06-23,03:21,74,88,8,4,36,0,10,-6,C♯/D♭ Minor,4,2023-11-25,1aRd5tMVhiRyMJLmSOg2IF,"Sweat It Out",12A,https://p.scdn.co/mp3-preview/d6873a2a1511a4c891a5155b543829aae4889f2b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485111f5cb2f4ef58f5e1eae30b6
161,"The First Time Free - Claptone Remix","Ultra Naté,Roland Clark",57,120,"diva house, garage house, vocal house","Electronic","The Masquerade (Mixed by Claptone)",2016-10-28,05:38,85,60,0,30,66,0,10,-7,F Minor,4,2023-11-27,0BNt1E54JDgCc06Ld5oaQ6,"Defected Records",4A,https://p.scdn.co/mp3-preview/81719bd7c94bf9632fc4e2c9ae495f098cdb2e5a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e94dfde31e7d45f1f631e275
162,"Gisèle","Emma Peters,Juicy Cola",63,109,"french pop, ","Pop","Emma Peters (Remixed)",2021-02-05,03:16,76,48,52,2,32,20,10,-11,F Minor,4,2023-12-06,6wqv1yeDe2wlPmQEM5ZCYb,"Local",4A,https://p.scdn.co/mp3-preview/66d806f35f6c8913fdd91b70f6fcbca128a55731?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485163423dab00ac6763899a9876
163,"Viva la vida","MoM,Anut,JPattersson",42,108,"ethnotronica, organic house, organic electronic","Electronic","Viva la vida",2020-01-17,07:24,77,53,41,88,15,0,10,-12,F#/G♭ Major,4,2024-01-03,4TXYAETrGC53xgXZ7ykNEl,"LNDKHN",2B,https://p.scdn.co/mp3-preview/1de80270766b2b91000624f62e48be7fb2117e24?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c0096cfccb5c17ca764e3637
164,"Magnetik","Malandra Jr.",48,121,"melodic techno","Electronic","Magnetik",2019-04-12,05:00,74,65,15,27,49,0,30,-11,G#/A♭ Major,4,2024-01-03,4P8ZoEphHmwIEk15dVrlkJ,"Diynamic Music",4B,https://p.scdn.co/mp3-preview/74cfffa828d32703c9c45da48c49600c565c63ef?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7041502d3ffba3fad2590e5
165,"Admit It (u don't want 2)","Fred again..,I. JORDAN",48,134,"edm, house, stutter house, experimental techno","Electronic","Admit It (u don't want 2)",2022-02-10,06:25,76,96,1,1,49,10,10,-5,F#/G♭ Minor,4,2024-01-03,1447z3NQY5Dg6oik6Zh5rw,"Atlantic Records",11A,https://p.scdn.co/mp3-preview/4e7423deeeb9a43dc28a866d74a665dfca0dec31?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a5d3ee3d90e91740388d51f7
166,"Peace Green","thds",47,92,"ethnotronica, organic house","Electronic","Peace Green",2017-09-19,03:17,68,40,26,79,9,0,0,-15,G Major,4,2024-01-03,2E5Rl8A8UexeWU7raWR3Sa,"Lump Records",9B,https://p.scdn.co/mp3-preview/1498e8d46d68ed64b431cdd3a614ad7c8501f2fa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b426384c9ab57ec272d9c3aa
167,"Sensiz","Lemurian,Bora Uzer",44,114,"ethnotronica, organic electronic, turkish pop","Electronic, Pop","Prophecies of the Ancient Future",2020-05-11,05:20,81,77,6,75,37,0,0,-11,A#/B♭ Minor,4,2024-01-03,6psUMUMTW8I726NIyK9jD5,"Cosmic Awakenings",3A,https://p.scdn.co/mp3-preview/489e37ca23552849b28680b6784e1fbbf2e68fbb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513d26de364fcd1bc19eeb4141
168,"Kahana","Tunnelvisions",44,106,"organic house","Electronic","Midnight Voyage",2017-11-03,04:36,75,59,0,80,31,0,0,-11,A#/B♭ Minor,4,2024-01-03,0xnztmR7FiqCpvTHW9zpbi,"Atomnation",3A,https://p.scdn.co/mp3-preview/d2e2430156a5643d1bb0df9a02ef434c595643c2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b69568c80e688e8eb0e07a7
169,"2 seater - house edit","dj gummy bear",60,120,"","","2 seater (house edit)",2023-05-05,02:28,82,35,14,0,49,0,10,-7,B Major,4,2024-01-04,4Y9u7MI1BsQlwwZTnlCqtC,"Lord’s Child, LLC",1B,,https://i.scdn.co/image/ab67616d000048518d5857283643c3430ea17b5b
170,"Yebba's Heartbreak (Show My Love) - Drega & Skyewanda Cover","Drega,Skye Wanda",41,120,"afro house, ","Electronic","Yebba's Heartbreak (Show My Love) [Drega & Skyewanda Cover]",2023-05-12,06:44,57,74,3,10,9,0,10,-9,B Major,4,2024-01-12,1KiycPFo0UH4WCyMdBC2iE,"Universal Music (Pty) Ltd.",1B,,https://i.scdn.co/image/ab67616d00004851b2baa8a86bc1b06818e89cd8
171,"Jealous","Mochakk",65,128,"","","Jealous",2023-08-25,04:16,72,85,0,83,45,0,0,-6,C♯/D♭ Major,4,2024-01-17,5Ir9mqfAUnXkSkXHF1yvM0,"CircoLoco Records",3B,https://p.scdn.co/mp3-preview/deb71c7345e9ce1fb58edff5d52ad27aa3a510b7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485178ebac70714895c4f8ffaeb7
172,"Bame Dame","Eran Hersh",51,122,"melodic house","Electronic","Bame Dame",2023-02-10,03:12,61,86,0,84,16,0,0,-9,F#/G♭ Major,4,2024-01-17,0dujwp2I4mBJGG6KvFN6L8,"Go Deeva Records",2B,https://p.scdn.co/mp3-preview/b270d44bd0a03ce66ff2057031dd1073aa0b2c3f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517268674f68c0fa48adb5b81f
173,"Minuit","Jumo",57,120,"new french touch, vapor twitch","Electronic","Et le vent ?",2020-06-05,03:23,64,80,34,91,7,0,0,-11,A Minor,4,2024-01-17,4UAxmiriWgNyu40rePrrsn,"Nowadays Records",8A,https://p.scdn.co/mp3-preview/a8707accae933ca9c0c3d358d7b65971e0c782e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516714cd98acb782781645c11c
174,"A New Day","Bellestar,Urban Love,Tom Polo",65,120,"coverchill, bossa nova cover, reggae cover","Latin","A New Day",2022-08-12,02:04,74,66,51,8,38,0,10,-10,C Minor,4,2024-01-17,2K8lk9eDCxC9qKsiTrxTyz,"Music Brokers",5A,https://p.scdn.co/mp3-preview/754aa72ede255f1323a87467baa470c7624e6213?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cb51af59515b9c177caef382
