#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
66,"Codeine Crazy","Future",74,126,"atl hip hop, hip hop, rap, southern hip hop, trap","Hip Hop","Monster",2014-10-28,05:46,75,62,17,0,19,10,30,-7,F#/G♭ Minor,4,2023-09-02,0joQFwiBKmi6X1Iq5R1ubH,"Epic/Freebandz",11A,https://p.scdn.co/mp3-preview/c31a928608fcc674f4d2b8648cb70d87abbb9e15?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e2528d35865f3114cfe9a16e
67,"Tequila Shots","Kid Cudi",72,90,"hip hop, ohio hip hop, pop rap, rap","Hip Hop","Man On The Moon III: The Chosen",2020-12-11,03:13,71,56,8,0,22,0,50,-7,F Minor,4,2023-09-02,30KctD1WsHKTIYczXjip5a,"Republic Records",4A,,https://i.scdn.co/image/ab67616d000048516ff25c2481eeaf6e7284d461
68,"MY EYES","Travis Scott",90,119,"hip hop, rap, slap house","Hip Hop, Electronic","UTOPIA",2023-07-28,04:11,46,62,65,0,28,0,10,-8,C Minor,4,2023-09-05,4kjI1gwQZRKNDkw1nI475M,"Cactus Jack/Epic",5A,https://p.scdn.co/mp3-preview/b52f66d1d36c1253c12a96b673fca7f69f62b4ab?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851881d8d8378cd01099babcd44
69,"Turn Yo Clic Up (feat. Future)","Quavo,Future",74,125,"atl hip hop, melodic rap, rap, trap, hip hop, southern hip hop","Hip Hop","Turn Yo Clic Up (feat. Future)",2023-07-14,03:50,87,56,58,0,63,30,10,-7,B Minor,4,2023-09-12,7LTCmtMpf3JPfBE8gAl64z,"Quality Control Music/Motown Records",10A,,https://i.scdn.co/image/ab67616d0000485107e6fcc40c758bfc61c1fd5e
70,"STAYING ALIVE (feat. Drake & Lil Baby)","DJ Khaled,Drake,Lil Baby",67,130,"hip hop, miami hip hop, pop rap, rap, canadian hip hop, canadian pop, atl hip hop, atl trap, trap","Hip Hop, Pop","STAYING ALIVE (feat. Drake & Lil Baby)",2022-08-05,02:58,72,46,7,0,18,0,20,-8,E Minor,4,2023-09-17,0g2Bbgy7P41pFjMWJuzsf4,"Epic/We The Best",9A,https://p.scdn.co/mp3-preview/b559c6e1663bfbfe007369641c13670532721502?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b690b30a50c94c6da49ba948
71,"I KNOW ?","Travis Scott",92,118,"hip hop, rap, slap house","Hip Hop, Electronic","UTOPIA",2023-07-28,03:31,93,62,2,0,82,0,10,-4,F Minor,4,2023-09-18,6wsqVwoiVH2kde4k4KKAFU,"Cactus Jack/Epic",4A,https://p.scdn.co/mp3-preview/71d86e04987feee653ae3087aa76e782bced382d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851881d8d8378cd01099babcd44
72,"SORRY NOT SORRY","Tyler, The Creator",74,96,"hip hop, rap","Hip Hop","CALL ME IF YOU GET LOST: The Estate Sale",2023-03-31,03:26,48,80,40,0,50,20,30,-4,F#/G♭ Minor,3,2023-09-18,410ZZP746AQeiywhKvXWCo,"Columbia",11A,https://p.scdn.co/mp3-preview/70416bd945586a23d770d318303e04936a04bdad?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851aa95a399fd30fbb4f6f59fca
73,"COOLER THAN A BITCH (feat. Roddy Ricch)","Gunna,Roddy Ricch",63,117,"atl hip hop, melodic rap, rap, trap","Hip Hop","WUNNA",2020-05-22,03:17,84,59,28,0,62,0,10,-9,B Minor,4,2023-09-25,5LHHKZOwV8XW4LJP2C64mw,"300 Entertainment",10A,https://p.scdn.co/mp3-preview/64ec8c803bab2d60f9444942381adf6fecd94082?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d7547a7624116ac5f8a51fd2
74,"10 Freaky Girls (with 21 Savage)","Metro Boomin,21 Savage",0,88,"rap, atl hip hop, hip hop","Hip Hop","NOT ALL HEROES WEAR CAPES",2018-11-02,03:28,81,35,59,0,7,30,10,-10,F#/G♭ Minor,4,2023-09-25,43lYaovU2FoeuBMNusVVVW,"Republic Records",11A,,https://i.scdn.co/image/ab67616d00004851184cc62dccee251dafefefee
75,"Take One","Kodak Black",0,174,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino","Hip Hop, Latin","Take One",2018-11-16,02:45,66,61,12,0,49,40,30,-7,C♯/D♭ Major,4,2023-09-25,6fI3tBVND8zUXZi9rr2Yps,"Atlantic Records",3B,,https://i.scdn.co/image/ab67616d000048518a80369cda28fa5ccefe36b7
