#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
307,"Dinle Beni Bi'","Yüzyüzeyken Konuşuruz",72,92,"turkish alternative rock, turkish rock","Rock","Akustik Travma",2018-02-23,02:24,56,68,56,91,54,0,10,-9,A Minor,4,2023-12-12,11PO9iu6PtpgL1JK4QNUEJ,"SONY MUSIC TURKEY",8A,https://p.scdn.co/mp3-preview/04aa1253589fbb55700c84cf1f8356cb0372826c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512de642b64eadaeff4697f156
308,"Gemiler","Teoman",60,80,"turkish rock","Rock","O",1998-06-19,04:20,55,71,8,0,39,0,0,-9,F#/G♭ Minor,4,2023-12-15,6RxF2qmsTBsXFgK0lx8WEj,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",11A,,https://i.scdn.co/image/ab67616d00004851fb14bfa9aad2798ec7a9949c
309,"Sopa - Clup Remix","Hande Yener",77,124,"turkish pop","Pop","Hande'ye Neler Oluyor",2010-04-01,04:03,62,93,4,0,54,0,10,-5,C Minor,4,2023-12-17,2rkDwpmqASO9ZmUFjqwrR3,"Poll Production",5A,https://p.scdn.co/mp3-preview/c2fb23c9982f8dad25eb25d059facde3d6715498?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c6cbeba4dd5bf3572e415f94
310,"İyisin Tabi","Deniz Seki",54,83,"turkish pop","Pop","İz",2014-09-22,04:55,73,75,50,0,73,0,0,-5,G Minor,4,2023-12-21,0A0Cq78Lc0I58mnYoiIwgt,"SEYHAN MÜZİK PROD.",6A,https://p.scdn.co/mp3-preview/fb548c37e1cf4d14a3abf5f940fd347fccf9ecfc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851836e7f9dd4bb20651f084a1a
311,"Bana Sen Lazımsın","Rafet El Roman",60,95,"turkish pop","Pop","Kalbimin Sultanı",2005-06-14,04:02,58,76,55,0,45,0,10,-5,B Minor,4,2023-12-22,4c1HHhPYELgynaK14kQ3nO,"EMRE GRAFSON MÜZİK",10A,https://p.scdn.co/mp3-preview/17c3b237a60f77c0c6201e067a67bccb2b1488b8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851871f778f6fc6eacd0782d2e2
312,"Kutsal Toprak","Soner Sarıkabadayı",61,118,"turkish pop","Pop","Kutsal Toprak",2013-05-09,03:43,80,81,47,0,52,0,10,-5,C Minor,4,2023-12-22,6gYmefMcSQYKkxkaZxa7eE,"PDND MÜZİK PROD.",5A,https://p.scdn.co/mp3-preview/f79c8215019c74465c9d6a9c5e54d4c6bb84f6cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510ab7e1e0714150d050a65068
313,"Gamsız Hayat","Candan Erçetin",59,180,"turkish pop","Pop","Neden",2002-04-17,03:51,60,70,14,0,78,10,0,-10,F#/G♭ Minor,4,2023-12-25,1dYgBxWZcYQR1AdngWtHGH,"Topkapı Müzik",11A,https://p.scdn.co/mp3-preview/c588cb0e9d772aae4c3ab46b3b4ccfb9e08b4367?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e0be4c90243f487aaa9b9783
314,"Zor Bela","Serkan Kaya",53,140,"german show tunes","Pop","Aşk Ne Demek Bilen Var Mi",2011-04-07,04:25,63,83,71,0,58,0,70,-4,F#/G♭ Minor,4,2023-12-25,6kZaFkbwRbXnYuRvgtKW0w,"Poll Production",11A,https://p.scdn.co/mp3-preview/beb8433abd65e40e0f25ade70beab9abc0a6a84d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af3f8f1880cbefdd67913a8f
315,"Direniyorum","Rafet El Roman",71,175,"turkish pop","Pop","Sevgiye Zaman Ver",2011-04-19,03:46,32,63,27,0,32,0,10,-3,C Minor,3,2023-12-26,2gcVsbyo517zAHOyvGbZWB,"EMRE GRAFSON MÜZİK",5A,https://p.scdn.co/mp3-preview/4548ee9c3fef80f4d924e13b76be29d85abbfa58?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851182270e5b8bb922a79352139
316,"Alışamadım","Yaşar İpek",42,162,"arabesk, turkish pop","Pop","Sus",2015-02-11,04:18,54,72,1,0,85,0,10,-11,G Minor,4,2023-12-27,7hP4c77vPdcQnJJVqzcJrh,"C1 Medya",6A,https://p.scdn.co/mp3-preview/a05142351630a3067f36b5dfe042fdc3c984d59b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485127ab338aa4d77733899bea64
